,timestamp,rating,title,text,parent_asin,verified_purchase
167,2022-12-01 02:17:07,4.0,Gives me a different number each time,Not sure if it’s worth it if it’s not completely accurate,B075QQ8VZW,True
235,2022-06-28 15:41:41,5.0,What took me so long?,Great!,B075QQ8VZW,True
2562,2022-12-23 15:49:52,5.0,Very easy to use!,Stores are sold out and this is so easy to use and read! I recommend this.,B075QQ8VZW,True
2656,2020-08-21 11:37:54,1.0,Worthless. Varies more than a degree between readings.,Waste of money. It varies more than a degree between repeat scans. Ugh!,B075QQ8VZW,True
3026,2020-10-21 17:54:19,5.0,Excellent touchless digital thermometer,"Very easy to use, 1 button touch that accurately records temp.",B075QQ8VZW,True
3660,2022-03-07 01:18:19,5.0,Great for the price,Best feature of this is being able to use it on a sleeping person. You can check a kids temperature without waking him/her up. Love it!!!,B075QQ8VZW,True
5068,2022-08-26 15:14:30,1.0,Doesn't work,This thermometer absolutley doesn't work.  Worst purchase ever!!,B075QQ8VZW,True
5412,2021-03-10 07:42:07,1.0,Never accurate,Always between 97.3 and 97.8. Tested with 2 other thermometers in the house and this was way way off. Daughter had a fever and it still said 97.3. Something wrong with this thermometer.,B075QQ8VZW,True
5418,2020-06-27 04:44:05,5.0,Great,Exactly as advertised. Fast and easy to use and a minimalistic look,B075QQ8VZW,True
5439,2021-01-19 02:24:30,5.0,So fast shipping,"Work great, I needed it",B075QQ8VZW,True
5524,2020-10-24 19:28:52,3.0,"I bought three different (& best rated) thermometers, and they all say different things!","I can't say if this is the one at fault, might be the other two.  But all three are .4 degrees different than each other consistently.  0.8 total variance is a lot.",B075QQ8VZW,True
6154,2020-07-20 04:34:45,5.0,Super easy to Use! Great premium finish,"The product is very easy to use. Any age group can use this product without any issues.<br /><br />Only one single button like old model iPhone, press it and hold it near your forehead and that's about it. It displays the temperature in the hidden display.<br /><br />Looks of this product is really awesome. When you hold it you would definitely feel you are holding a premium thermometer. It's an iPhone in thermometer.<br /><br />I have never heard this brand, I was little skeptical before I made the purchase about the brand. Read the reviews and most had given positive reviews and it's true, it's a great product.<br /><br />If you are in market for a thermometer, I would definitely recommend to try this one.",B075QQ8VZW,True
6286,2021-01-05 17:31:47,5.0,Quality,Got one for each family member. Good design and easy to read. Compact for travel and quite to use on sleeping patient.,B075QQ8VZW,True
6375,2020-12-03 19:03:10,5.0,An Essential First-Aide Items for the Home!,I bought this product for easy temperature readings of those in my household whenever needed.  The price was also reasonable.,B075QQ8VZW,True
6876,2020-12-08 02:03:41,4.0,Great item,Love it. Correct reading,B075QQ8VZW,True
6881,2022-01-15 00:27:09,5.0,Works like a charm,Well worth the money works Great,B075QQ8VZW,True
